1743.8,   0.413, -0.0875, 276.947
1744.3,   0.328, -0.0858, 276.906
1744.8,   0.244, -0.0834, 276.867
1745.3,   0.163, -0.0813, 276.829
1745.8,   0.084, -0.0790, 276.791
1746.3,   0.007, -0.0766, 276.755
1746.8,  -0.067, -0.0741, 276.720
1747.3,  -0.138, -0.0715, 276.687
1747.8,  -0.207, -0.0690, 276.654
1748.3,  -0.273, -0.0660, 276.623
1748.8,  -0.336, -0.0630, 276.593
1749.3,  -0.397, -0.0603, 276.565
1749.8,  -0.454, -0.0571, 276.538
1750.3,  -0.508, -0.0539, 276.513
1750.8,  -0.558, -0.0507, 276.489
1751.3,  -0.606, -0.0473, 276.466
1751.8,  -0.650, -0.0437, 276.446
1752.3,  -0.690, -0.0403, 276.427
1752.8,  -0.727, -0.0367, 276.409
1753.3,  -0.760, -0.0329, 276.394
1753.8,  -0.789, -0.0295, 276.380
1754.3,  -0.815, -0.0257, 276.368
1754.8,  -0.837, -0.0221, 276.358
1755.3,  -0.855, -0.0185, 276.349
1755.8,  -0.870, -0.0149, 276.342
1756.3,  -0.881, -0.0110, 276.337
1756.8,  -0.889, -0.0074, 276.333
1757.3,  -0.892, -0.0038, 276.331
1757.8,  -0.892, 0.0000, 276.331
1758.3,  -0.889, 0.0038, 276.333
1758.8,  -0.881, 0.0074, 276.337
1759.3,  -0.870, 0.0110, 276.342
1759.8,  -0.855, 0.0151, 276.349
1760.3,  -0.836, 0.0187, 276.358
1760.8,  -0.814, 0.0223, 276.368
1761.3,  -0.788, 0.0263, 276.381
1761.8,  -0.758, 0.0299, 276.395
1762.3,  -0.724, 0.0338, 276.411
1762.8,  -0.687, 0.0376, 276.428
1763.3,  -0.645, 0.0414, 276.448
1763.8,  -0.600, 0.0452, 276.469
1764.3,  -0.551, 0.0488, 276.492
1764.8,  -0.499, 0.0524, 276.517
1765.3,  -0.443, 0.0554, 276.543
1765.8,  -0.385, 0.0584, 276.570
1766.3,  -0.324, 0.0611, 276.599
1766.8,  -0.260, 0.0637, 276.629
1767.3,  -0.194, 0.0658, 276.660
1767.8,  -0.127, 0.0677, 276.692
1768.3,  -0.057, 0.0694, 276.725
1768.8,   0.014, 0.0709, 276.758
1769.3,   0.086, 0.0722, 276.792
1769.8,   0.159, 0.0730, 276.827
1770.3,   0.233, 0.0739, 276.861
1770.8,   0.307, 0.0743, 276.897
1771.3,   0.382, 0.0747, 276.932
1771.8,   0.456, 0.0745, 276.967
1772.3,   0.531, 0.0743, 277.002
